start,1523448438223,map_ui,zsoftco ztrack 0.42
point,1523448709000,48.259785,16.473760,203.403418,4.000000,13.741398,292.068085
point,1523448710000,48.259833,16.473585,203.441296,4.000000,13.818879,291.882111
point,1523448711000,48.259882,16.473411,203.321287,4.000000,13.826498,290.669128
point,1523448712000,48.259929,16.473234,203.427288,4.000000,13.908592,290.338989
point,1523448713000,48.259974,16.473057,203.169767,4.000000,13.901686,289.373901
point,1523448714000,48.260017,16.472881,203.348784,4.000000,13.832523,288.770721
point,1523448715000,48.260058,16.472705,203.278032,4.000000,13.728466,288.383484
point,1523448716000,48.260097,16.472528,203.265770,4.000000,13.773014,287.978638
point,1523448717000,48.260136,16.472351,203.238670,4.000000,13.749981,288.053650
point,1523448718000,48.260175,16.472175,203.116177,4.000000,13.633052,288.078552
point,1523448719000,48.260213,16.472004,203.211025,4.000000,13.442570,288.857391
point,1523448720000,48.260254,16.471837,203.209137,4.000000,13.259728,290.765442
point,1523448721000,48.260295,16.471673,203.152017,4.000000,13.010950,290.077545
point,1523448722000,48.260332,16.471520,203.267409,4.000000,12.323351,289.977234
point,1523448723000,48.260366,16.471380,203.236028,4.000000,11.504318,289.828461
point,1523448724000,48.260394,16.471254,203.261867,4.000000,10.322279,289.509521
point,1523448725000,48.260420,16.471142,203.435292,4.000000,9.516749,290.438782
point,1523448726000,48.260442,16.471052,203.065282,4.000000,7.990808,289.025940
point,1523448727000,48.260453,16.470983,202.804461,6.000000,6.395849,287.207703
point,1523448728000,48.260459,16.470942,203.293418,6.000000,4.574046,286.997742
point,1523448729000,48.260462,16.470922,201.953621,6.000000,3.299316,286.890198
point,1523448771000,48.260459,16.470882,201.564381,6.000000,3.205016,287.229340
point,1523448772000,48.260472,16.470802,201.677294,6.000000,5.144857,288.414154
point,1523448773000,48.260487,16.470709,202.309661,6.000000,6.643333,287.928558
point,1523448774000,48.260508,16.470600,202.449429,4.000000,8.060259,287.790741
point,1523448775000,48.260536,16.470471,202.474918,4.000000,9.583438,288.852295
point,1523448776000,48.260569,16.470327,202.212113,4.000000,10.906867,289.037018
point,1523448777000,48.260606,16.470172,202.358373,4.000000,11.848100,289.185669
point,1523448778000,48.260646,16.470006,202.663247,4.000000,12.931458,289.343658
point,1523448779000,48.260688,16.469832,202.544230,4.000000,13.396146,289.486725
point,1523448780000,48.260729,16.469657,202.637819,4.000000,13.551084,289.592651
point,1523448781000,48.260769,16.469484,202.732747,4.000000,13.580380,289.619843
point,1523448782000,48.260810,16.469312,202.430875,4.000000,13.557092,289.665161
point,1523448783000,48.260851,16.469141,202.257464,4.000000,13.545769,289.676971
point,1523448784000,48.260893,16.468969,201.992572,4.000000,13.618657,289.826385
point,1523448785000,48.260933,16.468797,201.563446,4.000000,13.617136,289.770813
point,1523448786000,48.260974,16.468626,201.082513,4.000000,13.544315,289.766602
point,1523448787000,48.261016,16.468459,200.894170,4.000000,13.419309,289.910400
point,1523448788000,48.261056,16.468291,200.961936,6.000000,13.358900,289.825806
point,1523448789000,48.261095,16.468122,201.042948,6.000000,13.324008,288.670258
point,1523448790000,48.261134,16.467952,200.824862,12.000000,13.433369,288.023407
point,1523448791000,48.261173,16.467782,200.179641,8.000000,13.414091,287.956604
point,1523448792000,48.261211,16.467606,200.619260,6.000000,13.717629,288.385162
point,1523448793000,48.261252,16.467431,200.440112,6.000000,13.696054,289.459351
point,1523448794000,48.261293,16.467257,200.311507,6.000000,13.649366,289.484985
point,1523448795000,48.261334,16.467084,200.384261,6.000000,13.534140,289.337708
point,1523448796000,48.261373,16.466912,200.356389,4.000000,13.430989,289.235657
point,1523448797000,48.261412,16.466741,200.459285,4.000000,13.337360,288.989532
point,1523448798000,48.261450,16.466570,200.450582,4.000000,13.272016,288.648834
point,1523448799000,48.261487,16.466399,200.571814,4.000000,13.269906,288.439819
point,1523448800000,48.261525,16.466227,200.689813,4.000000,13.310457,288.146545
point,1523448801000,48.261562,16.466053,200.953477,4.000000,13.441350,287.672302
point,1523448802000,48.261599,16.465877,201.005083,4.000000,13.605926,287.087524
point,1523448803000,48.261636,16.465700,201.119412,4.000000,13.623106,286.928619
point,1523448804000,48.261672,16.465527,201.408611,4.000000,13.484036,287.104462
point,1523448805000,48.261707,16.465358,201.597791,4.000000,13.191850,287.075226
point,1523448806000,48.261740,16.465207,202.296946,4.000000,12.109011,286.992096
point,1523448807000,48.261767,16.465080,202.388414,4.000000,10.697621,286.832245
point,1523448808000,48.261789,16.464979,202.779746,4.000000,9.047125,286.860413
point,1523448809000,48.261806,16.464901,202.723859,4.000000,7.280872,286.913361
point,1523448810000,48.261817,16.464850,202.607192,4.000000,5.301512,286.855530
point,1523448811000,48.261824,16.464818,202.569617,4.000000,3.880378,286.839600
point,1523448812000,48.261827,16.464801,202.442298,6.000000,2.454221,286.816528
point,1523448871000,48.261828,16.464782,202.786060,6.000000,1.430151,285.440948
point,1523448872000,48.261841,16.464728,203.216050,6.000000,3.910476,286.402222
point,1523448873000,48.261860,16.464644,203.088796,6.000000,5.723418,286.940918
point,1523448874000,48.261884,16.464544,203.572895,4.000000,7.213725,287.726868
point,1523448875000,48.261913,16.464425,203.603941,4.000000,8.815172,288.985626
point,1523448876000,48.261945,16.464293,203.121660,4.000000,9.722807,289.917847
point,1523448877000,48.261978,16.464159,203.460000,4.000000,10.110541,289.931976
point,1523448878000,48.262011,16.464022,203.351124,4.000000,10.548605,290.282715
point,1523448879000,48.262048,16.463879,203.526025,4.000000,11.177933,290.678467
point,1523448880000,48.262087,16.463730,203.595146,4.000000,11.517557,291.082245
point,1523448881000,48.262126,16.463580,203.762092,4.000000,11.752720,291.484497
point,1523448882000,48.262168,16.463426,203.914494,4.000000,12.148926,291.798065
point,1523448883000,48.262211,16.463269,203.848163,4.000000,12.324196,291.903381
point,1523448884000,48.262253,16.463112,203.980821,4.000000,12.398600,291.960449
point,1523448885000,48.262296,16.462955,204.120371,4.000000,12.439587,292.521729
point,1523448886000,48.262340,16.462799,204.034272,4.000000,12.490010,293.081360
point,1523448887000,48.262386,16.462644,204.114798,4.000000,12.496668,293.581299
point,1523448888000,48.262431,16.462490,203.993067,4.000000,12.471415,294.090393
point,1523448889000,48.262477,16.462336,203.937968,4.000000,12.473749,294.607239
point,1523448890000,48.262524,16.462182,203.958756,4.000000,12.503334,294.995056
point,1523448891000,48.262572,16.462029,203.839582,4.000000,12.474692,295.229401
point,1523448892000,48.262621,16.461877,203.821478,4.000000,12.455633,295.433716
point,1523448893000,48.262670,16.461725,203.747762,4.000000,12.463062,295.787842
point,1523448894000,48.262719,16.461574,203.734379,4.000000,12.455707,296.024139
point,1523448895000,48.262770,16.461421,203.973662,4.000000,12.649300,296.551697
point,1523448896000,48.262822,16.461265,203.935629,4.000000,12.828495,296.803284
point,1523448897000,48.262876,16.461107,204.074798,4.000000,13.068890,296.879211
point,1523448898000,48.262931,16.460948,204.164262,4.000000,13.200482,296.912903
point,1523448899000,48.262985,16.460787,204.025469,4.000000,13.292774,296.963043
point,1523448900000,48.263040,16.460625,204.104523,4.000000,13.328783,297.045227
point,1523448901000,48.263095,16.460465,204.032825,4.000000,13.361635,297.096741
point,1523448902000,48.263150,16.460304,204.067469,4.000000,13.367336,297.117615
point,1523448903000,48.263206,16.460143,204.193287,4.000000,13.378172,297.139526
point,1523448904000,48.263262,16.459981,204.281403,4.000000,13.430972,297.115540
point,1523448905000,48.263317,16.459819,204.297447,4.000000,13.446086,297.087616
point,1523448906000,48.263372,16.459656,204.178951,3.000000,13.473150,296.947205
